P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
68,316,0,0,0,100,69,316,4,0,0,100,16:05:13,13931,200
67,316,0,0,0,100,69,316,4,0,0,100,16:05:13,13966,200
66,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14000,200
65,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14036,200
64,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14071,200
63,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14107,200
62,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14143,200
61,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14179,200
60,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14214,200
59,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14250,200
58,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14286,200
57,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14321,200
56,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14357,200
55,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14393,200
54,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14429,200
53,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14464,200
52,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14500,200
51,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14536,200
50,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14571,200
49,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14607,200
48,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14643,200
47,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14679,200
46,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14714,200
45,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14750,200
44,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14786,200
43,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14821,200
42,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14857,200
41,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14893,200
40,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14929,200
39,316,0,0,0,100,69,316,4,0,0,100,16:05:14,14964,200
38,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15000,200
37,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15037,200
36,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15074,200
35,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15111,200
34,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15148,200
33,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15185,200
32,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15222,200
31,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15259,200
30,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15296,200
29,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15333,200
28,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15370,200
27,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15407,200
26,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15444,200
25,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15481,200
24,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15519,200
23,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15556,200
22,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15593,200
21,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15630,200
20,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15667,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15704,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15741,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15778,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15815,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15852,200
19,316,0,0,0,100,69,316,4,0,0,100,16:05:15,15889,200
19,316,4,0,0,100,68,316,0,0,0,100,16:05:16,16571,200
19,316,4,0,0,100,67,316,0,0,0,100,16:05:16,16607,200
19,316,4,0,0,100,66,316,0,0,0,100,16:05:16,16643,200
19,316,4,0,0,100,65,316,0,0,0,100,16:05:16,16679,200
19,316,4,0,0,100,64,316,0,0,0,100,16:05:16,16714,200
19,316,4,0,0,100,63,316,0,0,0,100,16:05:16,16750,200
19,316,4,0,0,100,62,316,0,0,0,100,16:05:16,16786,200
19,316,4,0,0,100,61,316,0,0,0,100,16:05:16,16821,200
19,316,4,0,0,100,60,316,0,0,0,100,16:05:16,16857,200
18,316,0,0,0,100,59,316,0,0,0,100,16:05:16,16893,200
17,316,0,0,0,100,58,316,0,0,0,100,16:05:16,16929,200
16,316,0,0,0,100,57,316,0,0,0,100,16:05:16,16964,200
15,316,0,0,0,100,56,316,0,0,0,100,16:05:17,17000,200
14,316,0,0,0,100,55,316,0,0,0,100,16:05:17,17036,200
13,316,0,0,0,100,54,316,0,0,0,100,16:05:17,17071,200
12,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17107,200
11,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17143,200
10,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17179,200
9,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17214,200
8,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17250,200
7,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17286,200
6,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17321,200
5,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17357,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17643,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17679,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17714,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17750,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17786,200
4,316,0,0,0,100,54,316,4,0,0,100,16:05:17,17821,200
3,316,0,0,0,100,53,316,0,0,0,100,16:05:17,17857,200
2,316,0,0,0,100,52,316,0,0,0,100,16:05:17,17893,200
1,316,0,0,0,100,51,316,0,0,0,100,16:05:17,17929,200
0,316,0,0,0,100,50,316,0,0,0,100,16:05:17,17964,200
-1,316,0,0,0,100,49,316,0,0,0,100,16:05:18,18000,200
-1,316,4,0,0,100,48,316,0,0,0,100,16:05:18,18036,200
-1,317,3,0,0,100,47,316,0,0,0,100,16:05:18,18071,200
-1,318,3,0,0,100,46,316,0,0,0,100,16:05:18,18107,200
-1,319,3,0,0,100,45,316,0,0,0,100,16:05:18,18143,200
-1,320,3,0,0,100,44,316,0,0,0,100,16:05:18,18179,200
-1,321,3,0,0,100,43,316,0,0,0,100,16:05:18,18214,200
-1,322,3,0,0,100,42,316,0,0,0,100,16:05:18,18250,200
-1,323,3,0,0,100,41,316,0,0,0,100,16:05:18,18286,200
-1,324,3,0,0,100,40,316,0,0,0,100,16:05:18,18321,200
-1,325,3,0,0,100,39,316,0,0,0,100,16:05:18,18357,200
-1,326,3,0,0,100,38,316,0,0,0,100,16:05:18,18393,200
-1,327,3,0,0,100,37,316,0,0,0,100,16:05:18,18429,200
-1,328,3,0,0,100,36,316,0,0,0,100,16:05:18,18464,200
-1,329,3,0,0,100,36,316,4,0,0,100,16:05:18,18500,200
-1,330,3,0,0,100,36,316,4,0,0,100,16:05:18,18536,200
-1,331,3,0,0,100,36,316,4,0,0,100,16:05:18,18571,200
-1,332,3,0,0,100,36,316,4,0,0,100,16:05:18,18607,200
-1,333,3,0,0,100,36,316,4,0,0,100,16:05:18,18643,200
-1,334,3,0,0,100,36,316,4,0,0,100,16:05:18,18679,200
-1,335,3,0,0,100,36,316,4,0,0,100,16:05:18,18714,200
-1,336,3,0,0,100,36,316,4,0,0,100,16:05:18,18750,200
-1,337,3,0,0,100,36,316,4,0,0,100,16:05:18,18786,200
-1,338,3,0,0,100,36,316,4,0,0,100,16:05:18,18821,200
-1,339,3,0,0,100,36,316,4,0,0,100,16:05:18,18857,200
-2,339,0,0,0,100,36,316,4,0,0,100,16:05:18,18893,200
-3,339,0,0,0,100,36,316,4,0,0,100,16:05:18,18929,200
-4,339,0,0,0,100,36,316,4,0,0,100,16:05:18,18964,200
-5,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19000,200
-6,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19036,200
-7,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19071,200
-8,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19107,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19143,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19179,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19214,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19250,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19286,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19321,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19357,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19393,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19429,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19464,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19500,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19536,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19571,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19607,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19643,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19679,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19714,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19750,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19786,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19821,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19857,200
-9,339,0,0,0,100,36,316,4,0,0,100,16:05:19,19893,200
-10,339,0,0,0,100,35,316,0,0,0,100,16:05:19,19929,200
-11,339,0,0,0,100,34,316,0,0,0,100,16:05:19,19964,200
-12,339,0,0,0,100,33,316,0,0,0,100,16:05:20,20000,200
-13,339,0,0,0,100,32,316,0,0,0,100,16:05:20,20036,200
-13,340,3,0,0,100,31,316,0,0,0,100,16:05:20,20071,200
-13,341,3,0,0,100,30,316,0,0,0,100,16:05:20,20107,200
-13,342,3,0,0,100,29,316,0,0,0,100,16:05:20,20143,200
-13,343,3,0,0,100,28,316,0,0,0,100,16:05:20,20179,200
-13,344,3,0,0,100,27,316,0,0,0,100,16:05:20,20214,200
-13,345,3,0,0,100,26,316,0,0,0,100,16:05:20,20250,200
-13,346,3,0,0,100,25,316,0,0,0,100,16:05:20,20286,200
-13,347,3,0,0,100,24,316,0,0,0,100,16:05:20,20321,200
-13,348,3,0,0,100,23,316,0,0,0,100,16:05:20,20357,200
-13,349,3,0,0,100,22,316,0,0,0,100,16:05:20,20393,200
-13,350,3,0,0,100,21,316,0,0,0,100,16:05:20,20429,200
-13,351,3,0,0,100,20,316,0,0,0,100,16:05:20,20464,200
-13,352,3,0,0,100,19,316,0,0,0,100,16:05:20,20500,200
-13,353,3,0,0,100,18,316,0,0,0,100,16:05:20,20536,200
-13,354,3,0,0,100,18,317,3,0,0,100,16:05:20,20571,200
-13,355,3,0,0,100,18,318,3,0,0,100,16:05:20,20607,200
-13,356,3,0,0,100,18,319,3,0,0,100,16:05:20,20643,200
-13,357,3,0,0,100,18,320,3,0,0,100,16:05:20,20679,200
-13,358,3,0,0,100,18,321,3,0,0,100,16:05:20,20714,200
-13,359,3,0,0,100,18,321,4,0,0,100,16:05:20,20750,200
-13,360,3,0,0,100,18,321,4,0,0,100,16:05:20,20786,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:20,20821,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:20,20857,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:20,20893,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:20,20929,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:20,20964,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21000,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21036,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21071,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21107,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21143,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21179,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21214,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21250,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21286,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21321,200
-13,361,3,0,0,100,18,321,4,0,0,100,16:05:21,21357,200
-13,362,3,0,0,100,18,322,3,0,0,100,16:05:21,21393,200
-13,363,3,0,0,100,18,323,3,0,0,100,16:05:21,21429,200
-13,364,3,0,0,100,18,324,3,0,0,100,16:05:21,21464,200
-13,365,3,0,0,100,18,325,3,0,0,100,16:05:21,21500,200
-13,366,3,0,0,100,18,326,3,0,0,100,16:05:21,21536,200
-13,367,3,0,0,100,18,327,3,0,0,100,16:05:21,21571,200
-13,368,3,0,0,100,18,328,3,0,0,100,16:05:21,21607,200
-13,369,3,0,0,100,18,329,3,0,0,100,16:05:21,21643,200
-13,370,3,0,0,100,18,330,3,0,0,100,16:05:21,21679,200
-13,371,3,0,0,100,18,331,3,0,0,100,16:05:21,21714,200
-13,372,3,0,0,100,18,332,3,0,0,100,16:05:21,21750,200
-13,373,3,0,0,100,18,333,3,0,0,100,16:05:21,21786,200
-13,374,3,0,0,100,18,334,3,0,0,100,16:05:21,21821,200
-13,375,3,0,0,100,18,335,3,0,0,100,16:05:21,21857,200
-13,376,3,0,0,100,18,336,3,0,0,100,16:05:21,21893,200
-13,377,3,0,0,100,18,337,3,0,0,100,16:05:21,21929,200
-13,378,3,0,0,100,18,338,3,0,0,100,16:05:21,21964,200
-13,379,3,0,0,100,18,339,3,0,0,100,16:05:22,22000,200
-13,380,3,0,0,100,18,340,3,0,0,100,16:05:22,22036,200
-13,381,3,0,0,100,18,341,3,0,0,100,16:05:22,22071,200
-13,382,3,0,0,100,18,342,3,0,0,100,16:05:22,22107,200
-13,383,3,0,0,100,18,343,3,0,0,100,16:05:22,22143,200
-13,384,3,0,0,100,18,344,3,0,0,100,16:05:22,22179,200
-13,385,3,0,0,100,18,345,3,0,0,100,16:05:22,22214,200
-13,386,3,0,0,100,18,346,3,0,0,100,16:05:22,22250,200
-13,386,3,0,0,100,18,346,4,0,0,100,16:05:22,22286,200
-14,386,3,0,0,100,17,346,0,0,0,100,16:05:22,22321,200
-15,386,3,0,0,100,16,346,0,0,0,100,16:05:22,22357,200
-16,386,3,0,0,100,15,346,0,0,0,100,16:05:22,22393,200
-17,386,3,0,0,100,14,346,0,0,0,100,16:05:22,22429,200
-18,386,3,0,0,100,13,346,0,0,0,100,16:05:22,22464,200
-19,386,3,0,0,100,12,346,0,0,0,100,16:05:22,22500,200
-20,386,3,0,0,100,11,346,0,0,0,100,16:05:22,22536,200
-21,386,3,0,0,100,10,346,0,0,0,100,16:05:22,22571,200
-22,386,3,0,0,100,9,346,0,0,0,100,16:05:22,22607,200
-23,386,3,0,0,100,8,346,0,0,0,100,16:05:22,22643,200
-24,386,3,0,0,100,7,346,0,0,0,100,16:05:22,22679,200
-24,386,4,0,0,100,6,346,0,0,0,100,16:05:22,22714,200
-24,386,4,0,0,100,5,346,0,0,0,100,16:05:22,22750,200
-24,386,4,0,0,100,4,346,0,0,0,100,16:05:22,22786,200
-24,386,4,0,0,100,4,347,3,0,0,100,16:05:23,23036,200
-24,386,4,0,0,100,4,348,3,0,0,100,16:05:23,23071,200
-24,386,4,0,0,100,4,349,3,0,0,100,16:05:23,23107,200
-24,386,4,0,0,100,4,350,3,0,0,100,16:05:23,23143,200
-24,386,4,0,0,100,4,351,3,0,0,100,16:05:23,23179,200
-23,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23214,200
-22,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23250,200
-21,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23286,200
-20,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23321,200
-19,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23357,200
-18,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23393,200
-17,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23429,200
-16,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23464,200
-15,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23500,200
-14,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23536,200
-13,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23571,200
-12,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23607,200
-11,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23643,200
-10,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23679,200
-9,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23714,200
-8,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23750,200
-7,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23786,200
-6,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23821,200
-5,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23857,200
-4,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23893,200
-3,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23929,200
-2,386,1,0,0,100,4,351,4,0,0,100,16:05:23,23964,200
-1,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24000,200
0,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24037,200
1,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24074,200
2,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24111,200
3,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24148,200
4,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24185,200
5,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24222,200
6,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24259,200
7,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24296,200
8,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24333,200
9,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24370,200
10,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24407,200
11,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24444,200
12,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24481,200
13,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24519,200
14,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24556,200
15,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24593,200
16,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24630,200
17,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24667,200
18,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24704,200
19,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24741,200
20,386,1,0,0,100,4,351,4,0,0,100,16:05:24,24778,200
20,387,3,0,0,100,4,351,4,0,0,100,16:05:24,24926,200
20,388,3,0,0,100,4,351,4,0,0,100,16:05:24,24963,200
20,389,3,0,0,100,4,351,4,0,0,100,16:05:25,25000,200
20,390,3,0,0,100,4,351,4,0,0,100,16:05:25,25036,200
20,391,3,0,0,100,4,351,4,0,0,100,16:05:25,25071,200
20,392,3,0,0,100,4,351,4,0,0,100,16:05:25,25107,200
20,393,3,0,0,100,4,351,4,0,0,100,16:05:25,25143,200
20,394,3,0,0,100,4,351,4,0,0,100,16:05:25,25179,200
20,395,3,0,0,100,4,351,4,0,0,100,16:05:25,25214,200
20,396,3,0,0,100,4,351,4,0,0,100,16:05:25,25250,200
20,397,3,0,0,100,4,351,4,0,0,100,16:05:25,25286,200
20,398,3,0,0,100,4,351,4,0,0,100,16:05:25,25321,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25357,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25393,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25429,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25464,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25500,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25536,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25571,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25607,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25643,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25679,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25714,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25750,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25786,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25821,200
20,399,3,0,0,100,4,351,4,0,0,100,16:05:25,25857,200
20,400,3,0,0,100,4,352,3,0,0,100,16:05:25,25893,200
20,401,3,0,0,100,4,353,3,0,0,100,16:05:25,25929,200
20,402,3,0,0,100,4,354,3,0,0,100,16:05:25,25964,200
20,403,3,0,0,100,4,355,3,0,0,100,16:05:26,26000,200
20,404,3,0,0,100,4,356,3,0,0,100,16:05:26,26036,200
20,405,3,0,0,100,4,357,3,0,0,100,16:05:26,26071,200
20,406,3,0,0,100,4,358,3,0,0,100,16:05:26,26107,200
20,407,3,0,0,100,4,359,3,0,0,100,16:05:26,26143,200
20,408,3,0,0,100,4,360,3,0,0,100,16:05:26,26179,200
20,409,3,0,0,100,4,361,3,0,0,100,16:05:26,26214,200
20,410,3,0,0,100,4,362,3,0,0,100,16:05:26,26250,200
20,411,3,0,0,100,4,363,3,0,0,100,16:05:26,26286,200
20,412,3,0,0,100,4,364,3,0,0,100,16:05:26,26321,200
20,413,3,0,0,100,4,365,3,0,0,100,16:05:26,26357,200
20,414,3,0,0,100,4,366,3,0,0,100,16:05:26,26393,200
20,415,3,0,0,100,4,367,3,0,0,100,16:05:26,26429,200
20,416,3,0,0,100,4,368,3,0,0,100,16:05:26,26464,200
20,417,3,0,0,100,4,369,3,0,0,100,16:05:26,26500,200
20,418,3,0,0,100,4,370,3,0,0,100,16:05:26,26536,200
20,419,3,0,0,100,4,371,3,0,0,100,16:05:26,26571,200
20,420,3,0,0,100,4,372,3,0,0,100,16:05:26,26607,200
20,421,3,0,0,100,4,373,3,0,0,100,16:05:26,26643,200
20,422,3,0,0,100,4,374,3,0,0,100,16:05:26,26679,200
20,423,3,0,0,100,4,375,3,0,0,100,16:05:26,26714,200
20,424,3,0,0,100,4,376,3,0,0,100,16:05:26,26750,200
20,425,3,0,0,100,4,377,3,0,0,100,16:05:26,26786,200
20,426,3,0,0,100,4,378,3,0,0,100,16:05:26,26821,200
20,427,3,0,0,100,4,379,3,0,0,100,16:05:26,26857,200
20,428,3,0,0,100,4,380,3,0,0,100,16:05:26,26893,200
20,429,3,0,0,100,4,381,3,0,0,100,16:05:26,26929,200
20,430,3,0,0,100,4,382,3,0,0,100,16:05:26,26964,200
20,431,3,0,0,100,4,383,3,0,0,100,16:05:27,27000,200
20,432,3,0,0,100,4,384,3,0,0,100,16:05:27,27036,200
20,433,3,0,0,100,4,385,3,0,0,100,16:05:27,27071,200
20,434,3,0,0,100,4,386,3,0,0,100,16:05:27,27107,200
20,435,3,0,0,100,4,387,3,0,0,100,16:05:27,27143,200
20,436,3,0,0,100,4,388,3,0,0,100,16:05:27,27179,200
20,437,3,0,0,100,4,389,3,0,0,100,16:05:27,27214,200
20,438,3,0,0,100,4,390,3,0,0,100,16:05:27,27250,200
20,439,3,0,0,100,4,391,3,0,0,100,16:05:27,27286,200
20,440,3,0,0,100,4,392,3,0,0,100,16:05:27,27321,200
20,441,3,0,0,100,4,393,3,0,0,100,16:05:27,27357,200
20,442,3,0,0,100,4,394,3,0,0,100,16:05:27,27393,200
20,443,3,0,0,100,4,395,3,0,0,100,16:05:27,27429,200
20,444,3,0,0,100,4,396,3,0,0,100,16:05:27,27464,200
20,445,3,0,0,100,4,397,3,0,0,100,16:05:27,27500,200
20,446,3,0,0,100,4,398,3,0,0,100,16:05:27,27536,200
20,447,3,0,0,100,4,399,3,0,0,100,16:05:27,27571,200
20,448,3,0,0,100,4,400,3,0,0,100,16:05:27,27607,200
20,449,3,0,0,100,4,401,3,0,0,100,16:05:27,27643,200
20,450,3,0,0,100,4,402,3,0,0,100,16:05:27,27679,200
20,451,3,0,0,100,4,403,3,0,0,100,16:05:27,27714,200
20,452,3,0,0,100,4,404,3,0,0,100,16:05:27,27750,200
20,453,3,0,0,100,4,405,3,0,0,100,16:05:27,27786,200
20,454,3,0,0,100,4,406,3,0,0,100,16:05:27,27821,200
20,455,3,0,0,100,4,407,3,0,0,100,16:05:27,27857,200
20,456,3,0,0,100,4,408,3,0,0,100,16:05:27,27893,200
20,457,3,0,0,100,4,409,3,0,0,100,16:05:27,27929,200
20,458,3,0,0,100,4,410,3,0,0,100,16:05:27,27964,200
20,459,3,0,0,100,4,411,3,0,0,100,16:05:28,28000,200
20,460,3,0,0,100,4,412,3,0,0,100,16:05:28,28036,200
20,461,3,0,0,100,4,413,3,0,0,100,16:05:28,28071,200
20,462,3,0,0,100,4,414,3,0,0,100,16:05:28,28107,200
20,463,3,0,0,100,4,415,3,0,0,100,16:05:28,28143,200
20,464,3,0,0,100,4,416,3,0,0,100,16:05:28,28179,200
20,465,3,0,0,100,4,417,3,0,0,100,16:05:28,28214,200
20,466,3,0,0,100,4,418,3,0,0,100,16:05:28,28250,200
20,467,3,0,0,100,4,419,3,0,0,100,16:05:28,28286,200
20,468,3,0,0,100,4,420,3,0,0,100,16:05:28,28321,200
20,469,3,0,0,100,4,421,3,0,0,100,16:05:28,28357,200
20,470,3,0,0,100,4,422,3,0,0,100,16:05:28,28393,200
20,471,3,0,0,100,4,423,3,0,0,100,16:05:28,28429,200
20,472,3,0,0,100,4,424,3,0,0,100,16:05:28,28464,200
20,473,3,0,0,100,4,425,3,0,0,100,16:05:28,28500,200
20,474,3,0,0,100,4,426,3,0,0,100,16:05:28,28536,200
20,475,3,0,0,100,4,427,3,0,0,100,16:05:28,28571,200
20,476,3,0,0,100,4,428,3,0,0,100,16:05:28,28607,200
20,477,3,0,0,100,4,429,3,0,0,100,16:05:28,28643,200
20,478,3,0,0,100,4,430,3,0,0,100,16:05:28,28679,200
20,479,3,0,0,100,4,431,3,0,0,100,16:05:28,28714,200
20,480,3,0,0,100,4,432,3,0,0,100,16:05:28,28750,200
20,481,3,0,0,100,4,433,3,0,0,100,16:05:28,28786,200
20,482,3,0,0,100,4,434,3,0,0,100,16:05:28,28821,200
20,483,3,0,0,100,4,435,3,0,0,100,16:05:28,28857,200
20,484,3,0,0,100,4,436,3,0,0,100,16:05:28,28893,200
20,485,3,0,0,100,4,437,3,0,0,100,16:05:28,28929,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:28,28964,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:29,29000,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:29,29037,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:29,29074,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:29,29111,200
20,485,3,0,0,100,4,437,4,0,0,100,16:05:29,29148,200
20,486,3,0,0,100,4,438,3,0,0,100,16:05:29,29185,200
