P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Timestamp,Elapsed_time_miliseconds,Total_Score
56,115,4,0,0,100,54,115,0,0,0,100,14:35:00,91,200
56,115,4,0,0,100,56,115,1,0,0,100,14:35:00,909,200
56,117,3,0,0,100,56,115,4,0,0,100,14:35:01,1483,200
56,119,3,0,0,100,56,115,4,0,0,100,14:35:01,1517,200
56,121,3,0,0,100,56,115,4,0,0,100,14:35:01,1552,200
56,123,3,0,0,100,56,117,2,0,0,100,14:35:01,1586,200
56,125,3,0,0,100,56,117,4,0,0,100,14:35:01,1621,200
56,127,3,0,0,100,56,117,4,0,0,100,14:35:01,1655,200
56,129,3,0,0,100,56,117,4,0,0,100,14:35:01,1690,200
56,131,3,0,0,100,56,117,4,0,0,100,14:35:01,1724,200
56,133,3,0,0,100,56,117,4,0,0,100,14:35:01,1759,200
56,135,3,0,0,100,56,117,4,0,0,100,14:35:01,1793,200
56,137,3,0,0,100,58,117,1,0,0,100,14:35:01,1828,200
56,139,3,0,0,100,58,117,4,0,0,100,14:35:01,1862,200
56,141,3,0,0,100,58,119,2,0,0,100,14:35:01,1897,200
56,143,3,0,0,100,58,119,4,0,0,100,14:35:01,1931,200
56,145,3,0,0,100,58,119,4,0,0,100,14:35:01,1966,200
56,147,3,0,0,100,58,119,4,0,0,100,14:35:02,2000,200
56,149,3,0,0,100,58,119,4,0,0,100,14:35:02,2036,200
56,151,3,0,0,100,58,119,4,0,0,100,14:35:02,2071,200
56,153,3,0,0,100,58,119,4,0,0,100,14:35:02,2107,200
56,155,3,0,0,100,58,121,2,0,0,100,14:35:02,2143,200
56,157,3,0,0,100,58,121,4,0,0,100,14:35:02,2179,200
56,159,3,0,0,100,58,121,4,0,0,100,14:35:02,2214,200
56,161,3,0,0,100,58,121,4,0,0,100,14:35:02,2250,200
56,163,3,0,0,100,58,121,4,0,0,100,14:35:02,2286,200
56,165,3,0,0,100,58,121,4,0,0,100,14:35:02,2321,200
56,167,3,0,0,100,58,121,4,0,0,100,14:35:02,2357,200
56,169,3,0,0,100,60,121,1,0,0,100,14:35:02,2393,200
56,171,3,0,0,100,60,121,4,0,0,100,14:35:02,2429,200
56,173,3,0,0,100,60,123,2,0,0,100,14:35:02,2464,200
56,175,3,0,0,100,60,125,2,0,0,100,14:35:02,2500,200
56,177,3,0,0,100,60,127,2,0,0,100,14:35:02,2536,200
56,179,3,0,0,100,60,129,2,0,0,100,14:35:02,2571,200
56,181,3,0,0,100,60,131,2,0,0,100,14:35:02,2607,200
56,183,3,0,0,100,60,133,2,0,0,100,14:35:02,2643,200
56,185,3,0,0,100,60,135,2,0,0,100,14:35:02,2679,200
56,187,3,0,0,100,60,137,2,0,0,100,14:35:02,2714,200
56,187,3,0,0,100,60,137,4,0,0,100,14:35:02,2750,200
56,189,3,0,0,100,60,139,2,0,0,100,14:35:02,2786,200
56,191,3,0,0,100,60,141,2,0,0,100,14:35:02,2821,200
56,193,3,0,0,100,60,143,2,0,0,100,14:35:02,2857,200
56,195,3,0,0,100,60,145,2,0,0,100,14:35:02,2893,200
54,195,3,0,0,100,58,145,0,0,0,100,14:35:02,2929,200
54,197,3,0,0,100,58,147,2,0,0,100,14:35:02,2964,200
54,199,3,0,0,100,58,149,2,0,0,100,14:35:03,3000,200
54,201,3,0,0,100,58,151,2,0,0,100,14:35:03,3034,200
54,199,3,0,0,100,58,149,3,0,0,100,14:35:03,3069,200
54,201,3,0,0,100,58,151,2,0,0,100,14:35:03,3103,200
54,203,3,0,0,100,58,153,2,0,0,100,14:35:03,3138,200
54,205,3,0,0,100,58,155,2,0,0,100,14:35:03,3172,200
54,207,3,0,0,100,58,157,2,0,0,100,14:35:03,3207,200
54,209,3,0,0,100,58,159,2,0,0,100,14:35:03,3241,200
54,211,3,0,0,100,58,161,2,0,0,100,14:35:03,3276,200
54,213,3,0,0,100,58,163,2,0,0,100,14:35:03,3310,200
54,215,3,0,0,100,58,165,2,0,0,100,14:35:03,3345,200
54,217,3,0,0,100,58,167,2,0,0,100,14:35:03,3379,200
54,219,3,0,0,100,58,169,2,0,0,100,14:35:03,3414,200
54,221,3,0,0,100,58,171,2,0,0,100,14:35:03,3448,200
54,219,3,0,0,100,58,169,3,0,0,100,14:35:03,3483,200
54,221,3,0,0,100,58,171,2,0,0,100,14:35:03,3517,200
54,221,4,0,0,100,58,173,2,0,0,100,14:35:03,3552,200
54,221,4,0,0,100,60,173,1,0,0,100,14:35:03,3586,200
54,219,2,0,0,100,58,173,0,0,0,100,14:35:03,3621,200
54,217,2,0,0,100,58,175,2,0,0,100,14:35:03,3655,200
54,215,2,0,0,100,58,175,4,0,0,100,14:35:03,3690,200
54,213,2,0,0,100,58,175,4,0,0,100,14:35:03,3724,200
54,211,2,0,0,100,58,175,4,0,0,100,14:35:03,3759,200
54,209,2,0,0,100,58,175,4,0,0,100,14:35:03,3793,200
54,207,2,0,0,100,58,175,4,0,0,100,14:35:03,3828,200
54,205,2,0,0,100,58,175,4,0,0,100,14:35:03,3862,200
54,203,2,0,0,100,58,175,4,0,0,100,14:35:03,3897,200
54,201,2,0,0,100,58,175,4,0,0,100,14:35:03,3931,200
54,199,2,0,0,100,58,175,4,0,0,100,14:35:03,3966,200
54,197,2,0,0,100,60,175,1,0,0,100,14:35:04,4000,200
54,195,2,0,0,100,60,175,4,0,0,100,14:35:04,4036,200
54,193,2,0,0,100,60,175,4,0,0,100,14:35:04,4071,200
54,191,2,0,0,100,60,173,3,0,0,100,14:35:04,4107,200
54,189,2,0,0,100,60,173,4,0,0,100,14:35:04,4143,200
54,187,2,0,0,100,60,173,4,0,0,100,14:35:04,4179,200
54,185,2,0,0,100,60,173,4,0,0,100,14:35:04,4214,200
54,183,2,0,0,100,60,173,4,0,0,100,14:35:04,4250,200
54,181,2,0,0,100,58,173,0,0,0,100,14:35:04,4286,200
54,179,2,0,0,100,58,173,4,0,0,100,14:35:04,4321,200
56,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4357,200
58,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4393,200
60,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4429,200
62,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4464,200
64,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4500,200
66,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4536,200
68,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4571,200
70,179,1,0,0,100,58,173,4,0,0,100,14:35:04,4607,200
72,179,1,0,0,100,58,171,3,0,0,100,14:35:04,4643,200
74,179,1,0,0,100,58,171,4,0,0,100,14:35:04,4679,200
