P1_X,P1_Y,P1_Direction,P1_Crashed,P1_ReachedGoal,P1_Score,P2_X,P2_Y,P2_Direction,P2_Crashed,P2_ReachedGoal,P2_Score,Elapsed_time_miliseconds,Total_Score
31,193,2,0,0,100,31,195,4,0,0,100,900,200
31,191,2,0,0,100,31,193,3,0,0,100,950,200
31,189,2,0,0,100,31,193,4,0,0,100,1000,200
31,187,2,0,0,100,31,193,4,0,0,100,1034,200
31,185,2,0,0,100,31,193,4,0,0,100,1069,200
31,183,2,0,0,100,31,193,4,0,0,100,1103,200
31,181,2,0,0,100,31,193,4,0,0,100,1138,200
31,179,2,0,0,100,31,193,4,0,0,100,1172,200
31,177,2,0,0,100,31,193,4,0,0,100,1207,200
31,175,2,0,0,100,31,193,4,0,0,100,1241,200
33,175,1,0,0,100,31,193,4,0,0,100,1276,200
35,175,1,0,0,100,31,193,4,0,0,100,1310,200
37,175,1,0,0,100,31,193,4,0,0,100,1345,200
39,175,1,0,0,100,31,193,4,0,0,100,1379,200
41,175,1,0,0,100,31,191,3,0,0,100,1414,200
43,175,1,0,0,100,31,191,4,0,0,100,1448,200
45,175,1,0,0,100,31,191,4,0,0,100,1483,200
47,175,1,0,0,100,31,191,4,0,0,100,1517,200
47,173,2,0,0,100,31,191,4,0,0,100,1552,200
47,171,2,0,0,100,31,191,4,0,0,100,1586,200
47,169,2,0,0,100,31,191,4,0,0,100,1621,200
47,167,2,0,0,100,31,191,4,0,0,100,1655,200
47,165,2,0,0,100,31,191,4,0,0,100,1690,200
47,163,2,0,0,100,31,191,4,0,0,100,1724,200
47,161,2,0,0,100,31,191,4,0,0,100,1759,200
47,159,2,0,0,100,31,191,4,0,0,100,1793,200
47,157,2,0,0,100,29,191,0,0,0,100,1828,200
47,155,2,0,0,100,29,191,4,0,0,100,1862,200
49,155,1,0,0,100,29,191,4,0,0,100,1897,200
51,155,1,0,0,100,29,191,4,0,0,100,1931,200
53,155,1,0,0,100,29,191,4,0,0,100,1966,200
53,153,2,0,0,100,29,191,4,0,0,100,2000,200
53,151,2,0,0,100,29,191,4,0,0,100,2034,200
53,149,2,0,0,100,29,191,4,0,0,100,2069,200
53,147,2,0,0,100,29,191,4,0,0,100,2103,200
53,145,2,0,0,100,29,189,3,0,0,100,2138,200
53,143,2,0,0,100,29,187,3,0,0,100,2172,200
53,141,2,0,0,100,29,185,3,0,0,100,2207,200
53,139,2,0,0,100,29,183,3,0,0,100,2241,200
53,137,2,0,0,100,29,181,3,0,0,100,2276,200
53,135,2,0,0,100,29,179,3,0,0,100,2310,200
