P1_to_P2_relative_position,P1_to_obs_1_relative_position,P1_to_obs_2_relative_position,P1_to_obs_3_relative_position,P1_to_obs_4_relative_position,P1_to_obs_5_relative_position,P2_to_obs_1_relative_position,P2_to_obs_2_relative_position,P2_to_obs_3_relative_position,P2_to_obs_4_relative_position,P2_to_obs_5_relative_position,P1_to_goal_relative_position,P2_to_goal_relative_position,timestamp_milliseconds
"(-1, 0)","(0.0, -22.0)","(-48.0, 0.0)","(-49.0, 0.0)","(0.0, -62.0)","(74, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(366, -71)","(367, -71)",5893
"(-2, 0)","(0.0, -22.0)","(-49.0, 0.0)","(-50.0, 0.0)","(0.0, -62.0)","(73, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(365, -71)","(367, -71)",5929
"(-3, 0)","(0.0, -22.0)","(-50.0, 0.0)","(-51.0, 0.0)","(0.0, -62.0)","(72, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(364, -71)","(367, -71)",5964
"(-4, 0)","(0.0, -22.0)","(-51.0, 0.0)","(-52.0, 0.0)","(0.0, -62.0)","(71, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(363, -71)","(367, -71)",6000
"(-5, 0)","(0.0, -22.0)","(-52.0, 0.0)","(-53.0, 0.0)","(0.0, -62.0)","(70, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(362, -71)","(367, -71)",6036
"(-6, 0)","(0.0, -22.0)","(-53.0, 0.0)","(-54.0, 0.0)","(0.0, -62.0)","(69, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(361, -71)","(367, -71)",6071
"(-7, 0)","(0.0, -22.0)","(-54.0, 0.0)","(-55.0, 0.0)","(0.0, -62.0)","(68, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(360, -71)","(367, -71)",6107
"(-8, 0)","(0.0, -22.0)","(-55.0, 0.0)","(-56.0, 0.0)","(0.0, -62.0)","(67, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(359, -71)","(367, -71)",6143
"(-9, 0)","(0.0, -22.0)","(-56.0, 0.0)","(-57.0, 0.0)","(0.0, -62.0)","(66, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(358, -71)","(367, -71)",6179
"(-10, 0)","(0.0, -22.0)","(-57.0, 0.0)","(-58.0, 0.0)","(0.0, -62.0)","(65, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(357, -71)","(367, -71)",6214
"(-11, 0)","(0.0, -22.0)","(-58.0, 0.0)","(-59.0, 0.0)","(0.0, -62.0)","(64, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(356, -71)","(367, -71)",6250
"(-12, 0)","(0.0, -22.0)","(-59.0, 0.0)","(-60.0, 0.0)","(0.0, -62.0)","(63, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(355, -71)","(367, -71)",6286
"(-13, 0)","(0, -22)","(-60.0, 0.0)","(-61.0, 0.0)","(0.0, -62.0)","(62, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(354, -71)","(367, -71)",6321
"(-14, 0)","(-1, -22)","(-61.0, 0.0)","(0, -62)","(-62.0, 0.0)","(61, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(353, -71)","(367, -71)",6357
"(-15, 0)","(-2, -22)","(-62.0, 0.0)","(-1, -62)","(-63.0, 0.0)","(60, 52)","(0.0, -22.0)","(-47.0, 0.0)","(-48.0, 0.0)","(0.0, -62.0)","(-87, -23)","(352, -71)","(367, -71)",6393
